team,player_name,position
Fulham FC,Luke Harris,Midfield
Fulham FC,Shea Charles,Midfield
Fulham FC,Joshua King,Midfield
Fulham FC,César Palacios,Midfield
Fulham FC,Alex Iwobi,Offence
Fulham FC,Rodrigo Muniz,Offence
Fulham FC,Kevin Santos,Offence
Fulham FC,Oscar Bobb,Offence
Fulham FC,Jonah Kusi-Asare,Offence
Fulham FC,Gonzalo García,Offence
Liverpool FC,Alisson Becker,Goalkeeper
Liverpool FC,Freddie Woodman,Goalkeeper
Liverpool FC,Giorgi Mamardashvili,Goalkeeper
Liverpool FC,Vítězslav Jaroš,Goalkeeper
Liverpool FC,Harvey Davies,Goalkeeper
Liverpool FC,Kostas Tsimikas,Defence
Liverpool FC,Joe Gomez,Defence
Liverpool FC,Virgil van Dijk,Defence
Liverpool FC,Ronald Araújo,Defence
Liverpool FC,Calvin Ramsay,Defence
Liverpool FC,Jeremie Frimpong,Defence
Liverpool FC,Milos Kerkez,Defence
Liverpool FC,Conor Bradley,Defence
Liverpool FC,Giovanni Leoni,Defence
Liverpool FC,Jeremy Jacquet,Defence
Liverpool FC,Wataru Endō,Midfield
Liverpool FC,Curtis Jones,Midfield
Liverpool FC,Dominik Szoboszlai,Midfield
Liverpool FC,Florian Wirtz,Midfield
Liverpool FC,Alexis Mac Allister,Midfield
Liverpool FC,Ryan Gravenberch,Midfield
Liverpool FC,Harvey Elliott,Midfield
Liverpool FC,Stefan Bajcetic,Midfield
Liverpool FC,Trey Nyoni,Midfield
Liverpool FC,Federico Chiesa,Offence
Liverpool FC,Alexander Isak,Offence
Liverpool FC,Cody Gakpo,Offence
Liverpool FC,Hugo Ekitike,Offence
Liverpool FC,Víctor Muñoz,Offence
Liverpool FC,Rio Ngumoha,Offence
Manchester City FC,Géronimo Rulli,Goalkeeper
Manchester City FC,Gianluigi Donnarumma,Goalkeeper
Manchester City FC,Marcus Bettinelli,Goalkeeper
Manchester City FC,James Trafford,Goalkeeper
Manchester City FC,Rayan Aït Nouri,Defence
Manchester City FC,Rúben Dias,Defence
Manchester City FC,Matheus Nunes,Defence
Manchester City FC,Marc Guéhi,Defence
Manchester City FC,Joško Gvardiol,Defence
Manchester City FC,Issa Kaboré,Defence
Manchester City FC,Josh Wilson-Esbrand,Defence
Manchester City FC,Rico Lewis,Defence
Manchester City FC,Nico O'Reilly,Defence
Manchester City FC,Abdukodir Khusanov,Defence
Manchester City FC,Max Alleyne,Defence
Manchester City FC,Vitor Reis,Defence
Manchester City FC,Juma Bah,Defence
Manchester City FC,Mateo Kovačić,Midfield
Manchester City FC,Rodri,Midfield
Manchester City FC,Kalvin Phillips,Midfield
Manchester City FC,Tijjani Reijnders,Midfield
Manchester City FC,Phil Foden,Midfield
Manchester City FC,Elliot Anderson,Midfield
Manchester City FC,Rayan Cherki,Midfield
Manchester City FC,Nico Gonzalez,Midfield
Manchester City FC,Claudio Echeverri,Midfield
Manchester City FC,Jack Grealish,Offence
Manchester City FC,Antoine Semenyo,Offence
Manchester City FC,Erling Haaland,Offence
Manchester City FC,Omar Marmoush,Offence
Manchester City FC,Jeremy Doku,Offence
Manchester City FC,Sávio,Offence
Manchester City FC,Jeremy Monga,Offence
Manchester City FC,Ryan McAidoo,Offence
Manchester United FC,Karl Darlow,Goalkeeper
Manchester United FC,Tom Heaton,Goalkeeper
Manchester United FC,Altay Bayındır,Goalkeeper
Manchester United FC,Senne Lammens,Goalkeeper
Manchester United FC,Radek Vitek,Goalkeeper
Manchester United FC,Dermot Mee,Goalkeeper
Manchester United FC,Harry Maguire,Defence
Manchester United FC,Matthijs de Ligt,Defence
Manchester United FC,Noussair Mazraoui,Defence
Manchester United FC,Luke Shaw,Defence
Manchester United FC,Diogo Dalot,Defence
Manchester United FC,Lisandro Martínez,Defence
Manchester United FC,Leny Yoro,Defence
Manchester United FC,Tyler Fredricson,Defence
Manchester United FC,Harry Amass,Defence
Manchester United FC,Patrick Dorgu,Defence
Manchester United FC,Ayden Heaven,Defence
Manchester United FC,Diego León,Defence
Manchester United FC,Bruno Fernandes,Midfield
Manchester United FC,Youri Tielemans,Midfield
Manchester United FC,Mason Mount,Midfield
Manchester United FC,Manuel Ugarte,Midfield
Manchester United FC,Andrey Santos,Midfield
Manchester United FC,Kobbie Mainoo,Midfield
Manchester United FC,Daniel Gore,Midfield
Manchester United FC,Toby Collyer,Midfield
Manchester United FC,Jack Fletcher,Midfield
Manchester United FC,Tyler Fletcher,Midfield
Manchester United FC,Jacob Devaney,Midfield
Manchester United FC,Marcus Rashford,Offence
Manchester United FC,Bryan Mbeumo,Offence
Manchester United FC,Matheus Cunha,Offence
Manchester United FC,Joshua Zirkzee,Offence
Manchester United FC,Benjamin Šeško,Offence
Manchester United FC,Amad Diallo,Offence
Manchester United FC,Ethan Wheatley,Offence
Manchester United FC,Chido Obi-Martin,Offence
Manchester United FC,Shea Lacey,Offence
Newcastle United FC,Nick Pope,Goalkeeper
Newcastle United FC,Mark Gillespie,Goalkeeper
Newcastle United FC,Lukáš Horníček,Goalkeeper
Newcastle United FC,Ewen Jaouen,Goalkeeper
Newcastle United FC,Aidan Harris,Goalkeeper
Newcastle United FC,Fabian Schär,Defence
