team,player_name,position
AFC Bournemouth,Julio Soler,Defence
AFC Bournemouth,Antonio Silva,Defence
AFC Bournemouth,Matai Akinmboni,Defence
AFC Bournemouth,Veljko Milosavljević,Defence
AFC Bournemouth,Lewis Cook,Midfield
AFC Bournemouth,Marcus Tavernier,Midfield
AFC Bournemouth,Justin Kluivert,Midfield
AFC Bournemouth,Ryan Christie,Midfield
AFC Bournemouth,Tyler Adams,Midfield
AFC Bournemouth,Alex Scott,Midfield
AFC Bournemouth,Alex Toth,Midfield
AFC Bournemouth,Ben Winterburn,Midfield
AFC Bournemouth,David Brooks,Offence
AFC Bournemouth,Enes Ünal,Offence
AFC Bournemouth,Evanilson,Offence
AFC Bournemouth,Amine Adli,Offence
AFC Bournemouth,Daniel Jebbison,Offence
AFC Bournemouth,Ben Doak,Offence
AFC Bournemouth,Alvaro Rodriguez,Offence
AFC Bournemouth,Rayan,Offence
AFC Bournemouth,Eli Kroupi,Offence
Coventry City FC,Ben Wilson,Goalkeeper
Coventry City FC,Oliver Dovin,Goalkeeper
Coventry City FC,Carl Rushworth,Goalkeeper
Coventry City FC,Jake Bidwell,Defence
Coventry City FC,Luke Woolfenden,Defence
Coventry City FC,Jay Dasilva,Defence
Coventry City FC,Liam Kitching,Defence
Coventry City FC,Milan van Ewijk,Defence
Coventry City FC,Joel Latibeaudiere,Defence
Coventry City FC,Bobby Thomas,Defence
Coventry City FC,Aurele Amenda,Defence
Coventry City FC,Kaine Kesler,Defence
Coventry City FC,Miguel Angel Brau,Defence
Coventry City FC,Ephron Mason-Clark,Midfield
Coventry City FC,Matt Grimes,Midfield
Coventry City FC,Gustavo Hamer,Midfield
Coventry City FC,Victor Torp,Midfield
Coventry City FC,Frank Onyeka,Midfield
Coventry City FC,Josh Eccles,Midfield
Coventry City FC,Jack Rudoni,Midfield
Coventry City FC,Kai Andrews,Midfield
Coventry City FC,Caleb Yirenkyi,Midfield
Coventry City FC,Brandon Thomas-Asante,Offence
Coventry City FC,Taiwo Awoniyi,Offence
Coventry City FC,Haji Wright,Offence
Coventry City FC,Tatsuhiro Sakamoto,Offence
Coventry City FC,Raphael Borges Rodrigues,Offence
Coventry City FC,Ellis Simms,Offence
Coventry City FC,Loum Tchaouna,Offence
Coventry City FC,Norman Bassette,Offence
Coventry City FC,Jahnoah Markelo,Offence
Coventry City FC,Sidiki Cherif,Offence
